,brand,brand_short,product,product_short,hex,H,S,V,L,group
572,Colorbar,cb,Perfect Match,pm,cd9d77,27.0,0.42,0.8,69,7
573,Colorbar,cb,Perfect Match,pm,ecc3a5,25.0,0.3,0.93,82,7
574,Colorbar,cb,Perfect Match,pm,e5ae87,25.0,0.41,0.9,76,7
575,Bharat & Doris,bd,Liquid Foundation,lf,d7ac7a,32.0,0.43,0.84,73,7
576,Bharat & Doris,bd,Liquid Foundation,lf,d7b182,33.0,0.4,0.84,75,7
577,Bharat & Doris,bd,Liquid Foundation,lf,ce9c6a,30.0,0.49,0.81,68,7
578,Bharat & Doris,bd,Liquid Foundation,lf,eec693,34.0,0.38,0.93,83,7
579,Bharat & Doris,bd,Liquid Foundation,lf,d7c499,42.0,0.29,0.84,80,7
580,Bharat & Doris,bd,Liquid Foundation,lf,e3b385,29.0,0.41,0.89,77,7
581,Bharat & Doris,bd,Liquid Foundation,lf,cba167,35.0,0.49,0.8,69,7
582,Olivia,ol,Foundation,fo,eb893e,26.0,0.74,0.92,67,7
583,Olivia,ol,Foundation,fo,ef9a5a,26.0,0.62,0.94,72,7
584,Olivia,ol,Foundation,fo,d0803b,28.0,0.72,0.82,61,7
585,Olivia,ol,Foundation,fo,b76f47,21.0,0.61,0.72,54,7
586,Blue Heaven,bh,X Factor,xf,ebb08a,24.0,0.41,0.92,77,7
587,Blue Heaven,bh,X Factor,xf,e8b684,30.0,0.43,0.91,78,7
588,Lotus Herbals,lh,Make-Up Ecostay,mue,eec1a2,24.0,0.32,0.93,82,7
589,Lotus Herbals,lh,Make-Up Ecostay,mue,b7a597,26.0,0.17,0.72,69,7
590,Lotus Herbals,lh,Make-Up Ecostay,mue,f0c092,29.0,0.39,0.94,81,7
591,Lotus Herbals,lh,Make-Up Ecostay,mue,d0985f,30.0,0.54,0.82,67,7
592,Nykaa,ny,SKINgenius,sg,cb9070,21.0,0.45,0.8,65,7
593,Nykaa,ny,SKINgenius,sg,dfab86,25.0,0.4,0.87,74,7
594,Nykaa,ny,SKINgenius,sg,d19676,21.0,0.44,0.82,67,7
595,Nykaa,ny,SKINgenius,sg,d4ac93,23.0,0.31,0.83,74,7
596,Nykaa,ny,SKINgenius,sg,ebc7af,24.0,0.26,0.92,83,7
597,Maybelline,mb,Fit Me Matte,fmm,f7d1bc,21.0,0.24,0.97,87,7
598,Maybelline,mb,Fit Me Matte,fmm,f3b989,27.0,0.44,0.95,80,7
599,Maybelline,mb,Fit Me Matte,fmm,f0ba81,31.0,0.46,0.94,80,7
600,Maybelline,mb,Fit Me Matte,fmm,ebba8a,30.0,0.41,0.92,79,7
601,Maybelline,mb,Fit Me Matte,fmm,d69c74,24.0,0.46,0.84,69,7
602,Maybelline,mb,Fit Me Matte,fmm,f9d0b0,26.0,0.29,0.98,86,7
603,Maybelline,mb,Fit Me Matte,fmm,fbd5bd,23.0,0.25,0.98,86,7
604,Maybelline,mb,Fit Me Matte,fmm,e7b9a2,20.0,0.3,0.91,79,7
605,Maybelline,mb,Fit Me Matte,fmm,dcb297,23.0,0.31,0.86,76,7
606,Maybelline,mb,Fit Me Matte,fmm,e6b898,25.0,0.34,0.9,78,7
607,Maybelline,mb,Fit Me Matte,fmm,ebbf93,30.0,0.37,0.92,81,7
608,Maybelline,mb,Fit Me Matte,fmm,efb793,23.0,0.38,0.94,79,7
609,Maybelline,mb,Fit Me Matte,fmm,ebba8a,30.0,0.41,0.92,79,7
610,Maybelline,mb,Fit Me Matte,fmm,f3b27d,27.0,0.49,0.95,78,7
611,L'Oréal,lo,True Match,tms,693720,19.0,0.7,0.41,29,7
612,L'Oréal,lo,True Match,tms,b07555,21.0,0.52,0.69,55,7
613,L'Oréal,lo,True Match,tms,bc6d4e,17.0,0.59,0.74,55,7
614,L'Oréal,lo,True Match,tms,c29979,26.0,0.38,0.76,67,7
615,L'Oréal,lo,True Match,tms,ddb496,25.0,0.32,0.87,76,7
616,L'Oréal,lo,True Match,tms,eebfa3,22.0,0.32,0.93,81,7
617,L'Oréal,lo,True Match,tms,e7cbb5,26.0,0.22,0.91,84,7
618,L'Oréal,lo,True Match,tms,dcb29a,22.0,0.3,0.86,76,7
619,L'Oréal,lo,True Match,tms,f0c7b3,20.0,0.25,0.94,83,7
620,L'Oréal,lo,True Match,tms,eecfba,24.0,0.22,0.93,85,7
621,L'Oréal,lo,True Match,tms,e8c7b8,19.0,0.21,0.91,83,7
622,L'Oréal,lo,True Match,tms,f0cbb9,20.0,0.23,0.94,85,7
623,L'Oréal,lo,True Match,tms,e9c4b1,20.0,0.24,0.91,82,7
624,L'Oréal,lo,True Match,tms,eabea1,24.0,0.31,0.92,80,7
